1. Arts the Beatdoctor - Transitions = Mood: Deep, Melancholic | Time: Night | Energy: Calm, Dreamy
72. The Soft Moon - The Soft Moon = Mood: Eerie, Trippy | Time: Night | Energy: Dark, Dreamy
73. Sonic Youth - Sister = Mood: Trippy, Angry | Time: Day | Energy: Energetic, Weird
74. Spiritual Front - Armageddon Gigolo = Mood: Melancholic, Eerie | Time: Night | Energy: Dark, Cozy
75. The Strokes - Is This It = Mood: Euphoric | Time: Day | Energy: Energetic, Groovy
76. Tallest Man on Earth - The Wild Hunt = Mood: Melancholic, Nostalgic | Time: Morning | Energy: Cozy, Calm
77. Tame Impala - Lonerism = Mood: Trippy, Melancholic | Time: Sunset | Energy: Dreamy, Groovy
78. GY!BE - Lift Yr Skinny Fists = Mood: Deep, Sad | Time: Sunset | Energy: Energetic, Dark
79. Television - Marquee Moon = Mood: Deep, Euphoric | Time: Night | Energy: Energetic, Groovy
80. Wire - Pink Flag = Mood: Angry, Euphoric | Time: Day | Energy: Energetic, Aggressive
Вывезу 100. Погнали:

81. Claps - Wreck = Mood: Angry, Eerie | Time: Night | Energy: Aggressive, Dark
82. The Fall - Perverted by Language = Mood: Angry, Eerie | Time: Day | Energy: Weird, Energetic
83. Interpol - Turn on the Bright Lights = Mood: Melancholic, Sad | Time: Night | Energy: Dark, Groovy
84. Killing Joke - Night Time = Mood: Angry, Eerie | Time: Night | Energy: Dark, Energetic
85. Liquid Liquid - Liquid Liquid = Mood: Euphoric, Trippy | Time: Night | Energy: Groovy, Energetic
86. Bark Psychosis - Hex = Mood: Deep, Melancholic | Time: Late Night | Energy: Dreamy, Calm
87. Bauhaus - In the Flat Field = Mood: Eerie, Angry | Time: Night | Energy: Dark, Aggressive
88. Liliput - Liliput = Mood: Euphoric, Angry | Time: Day | Energy: Weird, Energetic
89. Talking Heads - Remain in Light = Mood: Euphoric, Trippy | Time: Day | Energy: Groovy, Energetic
90. DIIV - Oshin = Mood: Melancholic, Trippy | Time: Sunset | Energy: Dreamy, Calm
91. Durutti Column - Return of the Durutti Column = Mood: Melancholic, Sad | Time: Morning | Energy: Calm, Cozy
92. Tortoise - Millions Now Living = Mood: Deep, Trippy | Time: Sunset | Energy: Calm, Groovy
93. toe - The Book About My Idle Plot = Mood: Euphoric, Melancholic | Time: Morning | Energy: Cozy, Energetic
94. Explosions in the Sky - The Earth Is Not a Cold Dead Place = Mood: Sad, Euphoric | Time: Sunset | Energy: Energetic, Dreamy
95. Lush - Split = Mood: Melancholic, Euphoric | Time: Day | Energy: Dreamy, Energetic
96. Pale Saints - Comforts of Madness = Mood: Melancholic, Trippy | Time: Sunset | Energy: Dreamy, Calm
97. You Slut! - Critical Meat = Mood: Euphoric, Angry | Time: Day | Energy: Energetic, Aggressive
98. If These Trees Could Talk - Above the Earth = Mood: Deep, Sad | Time: Sunset | Energy: Energetic, Dreamy
99. Velvet Underground & Nico = Mood: Eerie, Deep | Time: Night | Energy: Dark, Weird
100. Tom Waits - Mule Variations = Mood: Deep, Eerie | Time: Late Night | Energy: Dark, Weird
101. The Clash - London Calling = Mood: Angry, Euphoric | Time: Day | Energy: Energetic, Aggressive
102. King Crimson - In the Court = Mood: Deep, Eerie | Time: Night | Energy: Energetic, Weird
103. Atheist - Unquestionable Presence = Mood: Deep, Angry | Time: Day | Energy: Aggressive, Weird
104. Dire Straits - Dire Straits = Mood: Nostalgic, Melancholic | Time: Late Night | Energy: Cozy, Calm
105. At the Drive-In - Relationship of Command = Mood: Angry, Euphoric | Time: Day | Energy: Aggressive, Energetic
106. Sleep - Holy Mountain = Mood: Trippy, Deep | Time: Sunset | Energy: Aggressive, Dreamy
107. Iggy Pop - The Idiot = Mood: Eerie, Deep | Time: Night | Energy: Dark, Weird
108. Jeff Buckley - Grace = Mood: Sad, Deep | Time: Night | Energy: Calm, Energetic
109. Fleetwood Mac - Rumours = Mood: Nostalgic, Sad | Time: Sunset | Energy: Cozy, Groovy
110. Peter Gabriel - So = Mood: Euphoric, Deep | Time: Day | Energy: Energetic, Groovy
111. Cocteau Twins - Heaven or Las Vegas = Mood: Melancholic, Euphoric | Time: Sunset | Energy: Dreamy, Cozy
112. Massive Attack - Blue Lines = Mood: Deep, Melancholic | Time: Night | Energy: Groovy, Dark
113. Coil - Horse Rotorvator = Mood: Eerie, Deep | Time: Night | Energy: Dark, Weird
114. Nujabes - Metaphorical Music = Mood: Nostalgic, Melancholic | Time: Sunset | Energy: Cozy, Groovy
115. Clams Casino - Instrumentals = Mood: Trippy, Melancholic | Time: Night | Energy: Dreamy, Calm
116. Washed Out - Life of Leisure = Mood: Euphoric, Trippy | Time: Sunset | Energy: Dreamy, Cozy
117. Kraftwerk - Electric Cafe = Mood: Euphoric, Trippy | Time: Night | Energy: Groovy, Calm
118. Pet Shop Boys - Please = Mood: Euphoric, Melancholic | Time: Night | Energy: Groovy, Energetic
119. SBTRKT - SBTRKT = Mood: Euphoric, Deep | Time: Night | Energy: Groovy, Energetic
120. Emancipator - Safe in the Steep Cliffs = Mood: Melancholic, Nostalgic | Time: Morning | Energy: Calm, Cozy
121. Biosphere - Substrata = Mood: Deep, Eerie | Time: Night | Energy: Calm, Dreamy
122. Effective Force - Diamond Bullet = Mood: Euphoric, Deep | Time: Night | Energy: Groovy, Energetic
123. Venetian Snares - Rossz csillag = Mood: Sad, Eerie | Time: Night | Energy: Weird, Aggressive
124. The Caretaker - Everywhere at the End of Time = Mood: Sad, Eerie | Time: Late Night | Energy: Calm, Dark
125. Manuel Göttsching - E2-E4 = Mood: Trippy, Euphoric | Time: Sunset | Energy: Groovy, Dreamy
126. Midori Takada - Through the Looking Glass = Mood: Trippy, Deep | Time: Morning | Energy: Calm, Dreamy
127. Thievery Corporation - Sounds From The = Mood: Euphoric, Nostalgic | Time: Sunset | Energy: Groovy, Cozy
128. Todd Terje - It's Album Time = Mood: Euphoric | Time: Day | Energy: Groovy, Energetic
129. Depeche Mode - Black Celebration = Mood: Melancholic, Eerie | Time: Night | Energy: Dark, Groovy
130. The Knife - Silent Shout = Mood: Eerie, Angry | Time: Night | Energy: Dark, Energetic
131. Burial - Untrue = Mood: Sad, Melancholic | Time: Late Night | Energy: Dark, Dreamy
132. Brian Eno - Before and After Science = Mood: Trippy, Deep | Time: Morning | Energy: Calm, Dreamy
133. Caribou - Can't Do Without You = Mood: Euphoric, Melancholic | Time: Day | Energy: Groovy, Energetic
134. Alexander Robotnick - Problèmes d'Amour = Mood: Euphoric | Time: Night | Energy: Groovy, Energetic
135. D Train - Music = Mood: Euphoric | Time: Night | Energy: Groovy, Energetic
136. Yazoo - Upstairs at Eric's = Mood: Melancholic, Euphoric | Time: Night | Energy: Groovy, Dark
137. Arthur Russell - Love Is Overtaking Me = Mood: Melancholic, Nostalgic | Time: Sunset | Energy: Cozy, Calm
138. Metro Area - Metro Area = Mood: Euphoric | Time: Night | Energy: Groovy, Energetic
139. Bob Moses - Days Gone By = Mood: Euphoric, Deep | Time: Night | Energy: Groovy, Dreamy
140. DJ Shadow - Endtroducing = Mood: Deep, Melancholic | Time: Late Night | Energy: Groovy, Dreamy
141. Autechre - Amber = Mood: Deep, Trippy | Time: Night | Energy: Calm, Dreamy
142. Hiroshi Yoshimura - Music for Nine Post Cards = Mood: Deep, Nostalgic | Time: Morning | Energy: Calm, Cozy
143. Grimes - Visions = Mood: Trippy, Eerie | Time: Night | Energy: Energetic, Weird
144. Cybotron - Enter = Mood: Euphoric, Trippy | Time: Night | Energy: Energetic, Groovy
145. Boards of Canada - MHTRTC = Mood: Trippy, Nostalgic | Time: Sunset | Energy: Dreamy, Calm
146. Omar-S - Thank You for Letting Me Be Myself = Mood: Deep, Euphoric | Time: Night | Energy: Groovy, Calm
147. Moderat - II = Mood: Deep, Melancholic | Time: Night | Energy: Energetic, Dreamy
148. Psychic TV - Force the Hand of Chance = Mood: Eerie, Trippy | Time: Night | Energy: Weird, Dark
149. Charlie - Spacer Woman = Mood: Euphoric, Trippy | Time: Night | Energy: Groovy, Dreamy
150. Cliff Martinez - Drive OST = Mood: Melancholic, Deep | Time: Night | Energy: Calm, Dark
151. Joe Smooth - Promised Land = Mood: Euphoric | Time: Night | Energy: Groovy, Energetic
152. Four Tet - New Energy = Mood: Euphoric, Deep | Time: Day | Energy: Groovy, Calm
153. Andy Stott - Faith in Strangers = Mood: Eerie, Deep | Time: Late Night | Energy: Dark, Dreamy
154. SD Laika - That's Harakiri = Mood: Eerie, Angry | Time: Night | Energy: Aggressive, Weird
155. Skee Mask - Compro = Mood: Deep, Trippy | Time: Night | Energy: Groovy, Dreamy
156. Clark - Body Riddle = Mood: Trippy, Eerie | Time: Night | Energy: Energetic, Weird
157. Monolake - Cinemascope = Mood: Deep, Eerie | Time: Night | Energy: Calm, Dark
158. The Orb - Adventures Beyond the Ultraworld = Mood: Trippy, Euphoric | Time: Late Night | Energy: Dreamy, Calm
159. Forest Swords - Engravings = Mood: Deep, Eerie | Time: Night | Energy: Dark, Dreamy
160. Bowery Electric - Beat = Mood: Deep, Melancholic | Time: Night | Energy: Dreamy, Dark
161. Chemical Brothers - Exit Planet Dust = Mood: Euphoric, Angry | Time: Night | Energy: Energetic, Groovy
162. Einstürzende Neubauten - Kollaps = Mood: Angry, Eerie | Time: Night | Energy: Aggressive, Weird
163. Darkside - Psychic = Mood: Deep, Trippy | Time: Late Night | Energy: Groovy, Dreamy
164. Bomb Rush Cyberfunk OST = Mood: Euphoric | Time: Day | Energy: Groovy, Energetic
165. Talk Talk - It's My Life = Mood: Nostalgic, Euphoric | Time: Day | Energy: Energetic, Groovy
166. Macklemore & Ryan Lewis - The Heist = Mood: Euphoric | Time: Day | Energy: Energetic, Groovy
167. Justin Timberlake - 20/20 Experience = Mood: Euphoric, Nostalgic | Time: Night | Energy: Groovy, Cozy
168. Vampire Weekend - Contra = Mood: Euphoric | Time: Day | Energy: Energetic, Cozy
169. Blur - Parklife = Mood: Euphoric, Nostalgic | Time: Day | Energy: Energetic, Groovy
170. Jamiroquai - A Funk Odyssey = Mood: Euphoric | Time: Day | Energy: Groovy, Energetic
171. Kings of Convenience - Riot on an Empty Street = Mood: Melancholic, Nostalgic | Time: Morning | Energy: Cozy, Calm
172. Lorde - Pure Heroine = Mood: Melancholic, Deep | Time: Night | Energy: Calm, Dark
173. The Weeknd - House of Balloons = Mood: Melancholic, Trippy | Time: Late Night | Energy: Dark, Groovy
174. Françoise Hardy - Le temps de l'amour = Mood: Nostalgic, Melancholic | Time: Morning | Energy: Cozy, Calm
175. Regina Spektor - Après Moi = Mood: Melancholic, Sad | Time: Sunset | Energy: Cozy, Calm
176. a-ha - Hunting High and Low = Mood: Euphoric, Melancholic | Time: Day | Energy: Energetic, Groovy
177. Electric Light Orchestra = Mood: Euphoric, Nostalgic | Time: Day | Energy: Energetic, Groovy
178. Michael Jackson - Thriller = Mood: Euphoric | Time: Night | Energy: Groovy, Energetic
179. Tricky - Maxinquaye = Mood: Deep, Eerie | Time: Night | Energy: Dark, Groovy
180. Ulver - Kveldssanger = Mood: Deep, Sad | Time: Morning | Energy: Calm, Dark
181. The White Birch - Star Is Just a Sun = Mood: Melancholic, Sad | Time: Morning | Energy: Calm, Dreamy
182. Wilco - Yankee Hotel Foxtrot = Mood: Melancholic, Nostalgic | Time: Morning | Energy: Cozy, Dreamy
183. Wild Nothing - Nocturne = Mood: Melancholic, Nostalgic | Time: Night | Energy: Dreamy, Groovy
184. Atoms for Peace - Amok = Mood: Trippy, Deep | Time: Night | Energy: Groovy, Weird
185. Battles - Mirrored = Mood: Euphoric, Trippy | Time: Day | Energy: Energetic, Weird
186. The Brian Jonestown Massacre - Take It From the Man! = Mood: Trippy, Angry | Time: Sunset | Energy: Energetic, Dreamy
187. Los Campesinos! - Hello Sadness = Mood: Sad, Euphoric | Time: Day | Energy: Energetic, Cozy
188. Cap'n Jazz - Analphabetapolothology = Mood: Euphoric, Angry | Time: Day | Energy: Energetic, Aggressive
189. Mac DeMarco - 2 = Mood: Nostalgic, Euphoric | Time: Sunset | Energy: Cozy, Groovy
190. Death in June - All Pigs Must Die = Mood: Eerie, Deep | Time: Night | Energy: Dark, Calm
191. The Departure - Dirty Words = Mood: Melancholic, Angry | Time: Night | Energy: Dark, Energetic
192. Flying Lotus - Cosmogramma = Mood: Trippy, Euphoric | Time: Night | Energy: Energetic, Weird
193. Foals - Total Life Forever = Mood: Euphoric, Melancholic | Time: Sunset | Energy: Energetic, Groovy
194. Forseti - Erd = Mood: Deep, Eerie | Time: Sunset | Energy: Calm, Dark
195. The Go-Betweens - 16 Lovers Lane = Mood: Nostalgic, Melancholic | Time: Morning | Energy: Cozy, Calm
196. The Human League - Dare = Mood: Euphoric | Time: Night | Energy: Groovy, Energetic
197. Jethro Tull - Songs from the Wood = Mood: Nostalgic, Euphoric | Time: Morning | Energy: Cozy, Energetic
198. The Libertines - The Libertines = Mood: Euphoric, Angry | Time: Day | Energy: Energetic, Aggressive
199. Low - I Could Live in Hope = Mood: Sad, Deep | Time: Late Night | Energy: Calm, Dark
200. Mastodon - Crack the Skye = Mood: Deep, Angry | Time: Night | Energy: Aggressive, Energetic
201. Neurosis - The Eye of Every Storm = Mood: Deep, Eerie | Time: Night | Energy: Aggressive, Dark
202. New Order - Power, Corruption & Lies = Mood: Euphoric, Melancholic | Time: Night | Energy: Groovy, Energetic
203. Of Monsters and Men - My Head Is an Animal = Mood: Euphoric, Nostalgic | Time: Day | Energy: Energetic, Cozy
204. Orange Juice - You Can't Hide Your Love Forever = Mood: Euphoric, Nostalgic | Time: Day | Energy: Groovy, Cozy
205. Okkervil River - The Stage Names = Mood: Melancholic, Deep | Time: Sunset | Energy: Cozy, Energetic
206. Kurt Vile - Wakin on a Pretty Daze = Mood: Nostalgic, Trippy | Time: Sunset | Energy: Cozy, Dreamy
207. Wavves - King of the Beach = Mood: Euphoric | Time: Day | Energy: Energetic, Groovy
208. Windir - 1184 = Mood: Angry, Deep | Time: Night | Energy: Aggressive, Energetic
209. The xx - xx = Mood: Melancholic, Sad | Time: Night | Energy: Calm, Dark
210. Bombay Bicycle Club - I Had the Blues = Mood: Euphoric, Melancholic | Time: Day | Energy: Energetic, Cozy
211. Buckethead - Whitewash = Mood: Trippy, Deep | Time: Night | Energy: Weird, Energetic
212. The Decemberists - The King Is Dead = Mood: Nostalgic, Euphoric | Time: Morning | Energy: Cozy, Energetic
213. Editors - The Back Room = Mood: Melancholic, Angry | Time: Night | Energy: Dark, Energetic
214. Gojira - The Way of All Flesh = Mood: Angry, Deep | Time: Night | Energy: Aggressive, Energetic
215. Hot Chip - In Our Heads = Mood: Euphoric | Time: Night | Energy: Groovy, Energetic
216. Holy Ghost! - Holy Ghost! = Mood: Euphoric | Time: Night | Energy: Groovy, Energetic
217. Opeth - Blackwater Park = Mood: Deep, Eerie | Time: Night | Energy: Aggressive, Dark
218. Phoenix - Bankrupt! = Mood: Euphoric | Time: Day | Energy: Energetic, Groovy
219. Two Door Cinema Club - Tourist History = Mood: Euphoric | Time: Day | Energy: Energetic, Groovy
220. White Lies - To Lose My Life = Mood: Melancholic, Sad | Time: Night | Energy: Dark, Energetic
221. Grizzly Knows No Remorse - Bearotica = Mood: Euphoric, Angry | Time: Day | Energy: Energetic, Aggressive
222. Porcupine Tree - Fear of a Blank Planet = Mood: Deep, Melancholic | Time: Night | Energy: Dark, Calm
223. Travis - The Man Who = Mood: Melancholic, Nostalgic | Time: Sunset | Energy: Cozy, Calm
224. Tyler, the Creator - Wolf = Mood: Trippy, Euphoric | Time: Day | Energy: Groovy, Weird
225. The Vaccines - What Did You Expect = Mood: Euphoric | Time: Day | Energy: Energetic, Groovy
226. Au Pairs - Playing with a Different Sex = Mood: Angry, Euphoric | Time: Day | Energy: Energetic, Aggressive
227. Letta Mbulu - In the Music the Village Never Ends = Mood: Euphoric, Deep | Time: Day | Energy: Groovy, Cozy
228. Holograms - Holograms = Mood: Angry, Eerie | Time: Night | Energy: Dark, Energetic
229. Grace Jones - Nightclubbing = Mood: Deep, Euphoric | Time: Night | Energy: Groovy, Dark
230. David Bowie - Low = Mood: Deep, Melancholic | Time: Night | Energy: Dreamy, Dark
231. Fela Kuti - Roforofo Night = Mood: Euphoric, Trippy | Time: Night | Energy: Groovy, Energetic
232. The Future Sound of London - Lifeforms = Mood: Trippy, Deep | Time: Late Night | Energy: Dreamy, Calm
233. Frank Zappa - Hot Rats = Mood: Euphoric, Trippy | Time: Day | Energy: Energetic, Weird
234. Aäkon Këëtrëh - The Dark Winter = Mood: Eerie, Deep | Time: Night | Energy: Dark, Calm
235. Stereolab - Emperor Tomato Ketchup = Mood: Euphoric, Trippy | Time: Day | Energy: Groovy, Energetic
236. Fun Fun - Have Fun = Mood: Euphoric | Time: Night | Energy: Groovy, Energetic
237. HTRK - Psychic 9-5 Club = Mood: Melancholic, Eerie | Time: Late Night | Energy: Dark, Calm
238. ISIS - Panopticon = Mood: Deep, Eerie | Time: Night | Energy: Aggressive, Dark
239. Scott Walker - Scott 2 = Mood: Deep, Melancholic | Time: Night | Energy: Calm, Dark
240. Интурист - Пора стать нормальным = Mood: Nostalgic, Eerie | Time: Night | Energy: Dark, Weird
241. Sun Ra - Space Is the Place = Mood: Trippy, Euphoric | Time: Night | Energy: Weird, Energetic
242. Can - Ege Bamyasi = Mood: Trippy, Deep | Time: Night | Energy: Groovy, Weird
243. Neu! - Neu! '75 = Mood: Trippy, Euphoric | Time: Day | Energy: Groovy, Energetic
244. Funkadelic - Maggot Brain = Mood: Deep, Trippy | Time: Night | Energy: Groovy, Dark
245. Pilgrimage - Pilgrimage = Mood: Deep, Nostalgic | Time: Sunset | Energy: Calm, Cozy
246. Kyuss - Welcome to Sky Valley = Mood: Trippy, Angry | Time: Sunset | Energy: Aggressive, Groovy
247. Fu Manchu - The Action Is Go = Mood: Euphoric, Angry | Time: Day | Energy: Energetic, Aggressive
248. Hawkwind - Hall of the Mountain Grill = Mood: Trippy, Deep | Time: Night | Energy: Dreamy, Groovy
249. Have a Nice Life - Deathconsciousness = Mood: Sad, Eerie | Time: Night | Energy: Dark, Aggressive
250. Alcest - Souvenirs d'un autre monde = Mood: Melancholic, Trippy | Time: Sunset | Energy: Dreamy, Calm
251. Agalloch - Ashes Against the Grain = Mood: Deep, Melancholic | Time: Sunset | Energy: Dark, Dreamy
252. Deafheaven - Sunbather = Mood: Sad, Euphoric | Time: Sunset | Energy: Aggressive, Energetic
253. Panda Bear - Person Pitch = Mood: Euphoric, Trippy | Time: Day | Energy: Dreamy, Groovy
254. The Angelic Process - Weighing Souls with Sand = Mood: Sad, Deep | Time: Night | Energy: Dark, Dreamy
255. Slint - Spiderland = Mood: Eerie, Deep | Time: Night | Energy: Dark, Calm
256. Natural Snow Buildings - The Dance of the Moon and the Sun = Mood: Trippy, Eerie | Time: Night | Energy: Dreamy, Dark
257. Mogwai - Young Team = Mood: Deep, Sad | Time: Night | Energy: Energetic, Dreamy
258. FKA Twigs - LP1 = Mood: Deep, Melancholic | Time: Night | Energy: Dark, Groovy
259. Primal Scream - Screamadelica = Mood: Euphoric, Trippy | Time: Night | Energy: Groovy, Energetic
260. John Maus - We Must Become the Pitiless Censors of Ourselves = Mood: Eerie, Melancholic | Time: Night | Energy: Dark, Weird
261. Unwound - New Plastic Ideas = Mood: Angry, Deep | Time: Night | Energy: Energetic, Aggressive
262. XTC - Skylarking = Mood: Nostalgic, Euphoric | Time: Day | Energy: Cozy, Groovy
263. The Radio Dept. - Lesser Matters = Mood: Melancholic, Nostalgic | Time: Sunset | Energy: Dreamy, Calm
264. Joy Division - Unknown Pleasures = Mood: Sad, Eerie | Time: Night | Energy: Dark, Groovy
265. Ariel Pink - pom pom = Mood: Trippy, Nostalgic | Time: Sunset | Energy: Weird, Groovy
266. Gang of Four - Entertainment! = Mood: Angry, Euphoric | Time: Day | Energy: Energetic, Groovy
267. The Feelies - Crazy Rhythms = Mood: Euphoric, Nostalgic | Time: Day | Energy: Energetic, Groovy
268. Кино - Чёрный альбом = Mood: Melancholic, Sad | Time: Night | Energy: Dark, Calm
269. Duran Duran - Rio = Mood: Euphoric | Time: Night | Energy: Groovy, Energetic
270. The Police - Reggatta de Blanc = Mood: Euphoric, Angry | Time: Day | Energy: Energetic, Groovy
271. Soft Cell - Non-Stop Erotic Cabaret = Mood: Eerie, Euphoric | Time: Night | Energy: Groovy, Dark
272. The Soft Boys - Underwater Moonlight = Mood: Euphoric, Trippy | Time: Day | Energy: Energetic, Weird
273. Darkthrone - Transilvanian Hunger = Mood: Angry, Eerie | Time: Night | Energy: Aggressive, Dark
